id,rectimestamp,sendtimestamp,Delay millisecond,longitude,latitude,altitude,speed,Key star Number,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Modulation,Type,Label,attack_type,SPAT
29,1.70E+12,1.70E+12,-220.33,116.49139,39.72905,23.2,9.038,47,60.26,696E636830303000,115,29,60,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,QPSK,normal,SPAT
30,1.70E+12,1.70E+12,-220.084,116.491395,39.729052,23.2,8.982,47,62.66,,117,30,61,3619,8000001,7,8,-124,-93,-2,0,5,-124,55140,47,4264,QPSK,normal,SPAT
31,1.70E+12,1.70E+12,-236.545,116.491398,39.729054,23.2,9.038,47,60.26,696E636830303000,118,31,61,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
32,1.70E+12,1.70E+12,-235.659,116.491401,39.729055,23.2,9.038,47,60.26,696E636830303000,119,32,61,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,QPSK,normal,SPAT
33,1.70E+12,1.70E+12,-236.498,116.491405,39.729056,23.2,9.038,47,60.26,696E636830303000,120,33,61,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,QPSK,normal,SPAT
34,1.70E+12,1.70E+12,-240.724,116.491407,39.729057,23.2,9.038,47,60.26,696E636830303000,121,34,61,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,QPSK,normal,SPAT
35,1.70E+12,1.70E+12,-219.397,116.491428,39.729066,23.2,8.982,47,62.66,696E636830303000,2,35,69,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,normal,SPAT
36,1.70E+12,1.70E+12,-222.459,116.491435,39.729069,23.2,8.982,47,62.66,696E636830303000,5,36,71,3619,8000001,7,8,-124,-93,-2,2,5,-124,55140,47,4264,QPSK,normal,SPAT
37,1.70E+12,1.70E+12,-226.783,116.491441,39.729071,23.2,8.945,47,62.31,696E636830303000,7,37,72,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
38,1.70E+12,1.70E+12,-234.23,116.491443,39.729072,23.2,8.945,47,62.31,696E636830303000,8,38,72,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
39,1.70E+12,1.70E+12,-220.344,116.49145,39.729076,23.2,8.945,47,62.31,696E636830303000,11,39,74,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,QPSK,normal,SPAT
40,1.70E+12,1.70E+12,-224.16,116.491458,39.729079,23.1,8.908,47,60.51,,14,40,76,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
41,1.70E+12,1.70E+12,-237.313,116.491461,39.729081,23.2,8.945,47,62.31,696E636830303000,15,41,76,3619,8000001,7,8,-121,-91,1,1,5,-121,55140,47,4264,QPSK,normal,SPAT
42,1.70E+12,1.70E+12,-221.175,116.491469,39.729084,23.1,8.834,47,59.62,696E636830303000,18,42,78,3619,8000001,7,8,-116,-88,6,2,5,-116,55140,47,4264,QPSK,normal,SPAT
43,1.70E+12,1.70E+12,-241.701,116.491471,39.729085,23.1,8.908,47,60.51,696E636830303000,19,43,78,3619,8000001,7,8,-118,-89,5,1,5,-118,55140,47,4264,QPSK,normal,SPAT
44,1.70E+12,1.70E+12,-239.876,116.491474,39.729086,23.1,8.908,47,60.51,696E636830303000,20,44,78,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
45,1.70E+12,1.70E+12,-238.372,116.491477,39.729087,23.1,8.908,47,60.51,,21,45,78,3619,8000001,7,8,-119,-90,3,2,5,-119,55140,47,4264,QPSK,normal,SPAT
46,1.70E+12,1.70E+12,-226.129,116.491481,39.729089,23.1,8.908,47,60.51,696E636830303000,23,46,79,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
47,1.70E+12,1.70E+12,-235.76,116.491483,39.72909,23.1,8.908,47,60.51,696E636830303000,24,47,79,3619,8000001,7,8,-117,-89,5,1,5,-117,55140,47,4264,QPSK,normal,SPAT
48,1.70E+12,1.70E+12,-236.362,116.491486,39.729091,23.1,8.908,47,60.51,,25,48,79,3619,8000001,7,8,-123,-92,0,1,5,-123,55140,47,4264,QPSK,normal,SPAT
49,1.70E+12,1.70E+12,-236.587,116.491489,39.729092,23.1,8.908,47,60.51,696E636830303000,26,49,79,3619,8000001,7,8,-120,-91,3,1,5,-120,55140,47,4264,QPSK,normal,SPAT
50,1.70E+12,1.70E+12,-216.42,116.491498,39.729096,23.1,8.834,47,59.62,696E636830303000,30,50,82,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,normal,SPAT
51,1.70E+12,1.70E+12,-235.958,116.4915,39.729097,23.1,8.834,47,59.62,696E636830303000,31,51,82,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,QPSK,normal,SPAT
52,1.70E+12,1.70E+12,-236.771,116.491502,39.729098,23.1,8.834,47,59.62,696E636830303000,32,52,82,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,QPSK,normal,SPAT
53,1.70E+12,1.70E+12,-223.482,116.491509,39.729101,23.1,8.834,47,59.62,696E636830303000,35,53,84,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,QPSK,normal,SPAT
54,1.70E+12,1.70E+12,-236.333,116.491512,39.729103,23.1,8.834,47,59.62,696E636830303000,36,54,84,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,QPSK,normal,SPAT
55,1.70E+12,1.70E+12,-235.921,116.491515,39.729104,23.1,8.834,47,59.62,696E636830303000,37,55,84,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,QPSK,normal,SPAT
56,1.70E+12,1.70E+12,-243.125,116.491517,39.729105,23,8.778,46,58.93,696E636830303000,38,56,84,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
57,1.70E+12,1.70E+12,-227.774,116.491527,39.72911,23,8.778,46,58.93,696E636830303000,42,57,87,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,QPSK,normal,SPAT
